name,category,city,address,email,website,phone,price,n_reviews
Hotel Ochsen,Hotel de 3 estrellas,"Davos, Suiza","Talstrasse 10, 7270 Davos, Suiza",mountains@davosklosters.ch,davosklostersmountains.ch,+41 81 417 64 44,142,252
Hotel Bünda Davos,Hotel de 3 estrellas,"Davos, Suiza","Dorf CH, Museumstrasse 4, 7260 Davos, Suiza",info@hotelbuendadavos.ch,hotelbuendadavos.ch,+41 81 417 18 19,150,322
Hotel Strela,Hotel de 3 estrellas,"Davos, Suiza","Obere Strasse 39, 7270 Davos Platz, Suiza",mountains@davosklosters.ch,davosklostersmountains.ch,+41 81 417 65 90,146,356
Waldhotel Davos,Hotel de 4 estrellas,"Davos, Suiza","Buolstrasse 3, 7270 Davos Platz, Suiza",info@waldhotel-davos.ch,waldhotel-davos.ch,+41 81 415 15 15,237,202
Hotel Bündnerhof,Hotel de 3 estrellas de gestión familiar y restaurante,"Davos, Suiza","Sportweg 3, 7270 Davos Platz, Suiza",info@buendnerhof.ch,buendnerhof.ch,+41 81 410 06 36,183,109
B&B Bellagio Davos,Bed & Breakfast,"Davos, Suiza","Rossweidstrasse 4, 7270 Davos Platz, Suiza",kontakt@bellagiodavos.ch,bellagiodavos.ch,+41 79 581 72 70,205,7
Hotel Ochsen 2,Hotel de 3 estrellas,"Davos, Suiza","Talstrasse 12, 7270 Davos, Suiza",mountains@davosklosters.ch,davosklostersmountains.ch,+41 81 417 65 55,146,178
Bernina Bed and Breakfast,Hotel,"Davos, Suiza","Promenade 18, 7270 Davos, Suiza",info@berninabedandbreakfast.ch,berninabedandbreakfast.ch,+41 81 410 03 63,191,38
Restaurant @ Chesa Seehof,RestauranteCerrado ⋅ Apertura: 18:00,NO_CITY,"Seehof, Promenade 159, 7260 Davos, Suiza",info@precisehotels.com,precisehotels.com,+41 81 417 94 44,285,21
Nuts & Co Bar,Restaurante · Abierto ⋅ Cierra a las 23:00,NO_CITY,"Baslerstrasse 9, 7260 Davos, Suiza",spa@alpengoldhotel.com,alpengoldhotel.com,+41 81 414 04 00,272,17
Kessler's Kulm Hotel / Restaurant,Hotel de 3 estrellas · ,"Davos, Suiza","Prättigauerstrasse 32, 7265 Davos, Suiza",info@kesslerskulm.ch,kessler-kulm.ch,+41 81 417 07 07,149,826
Hotel Restaurant Alpenhof Davos,Hotel de 3 estrellas,"Davos, Suiza","Hofstrasse 22, 7270 Davos Platz, Suiza",hotel@alpenhof-davos.ch,alpenhof-davos.ch,+41 81 415 20 60,226,757
"Camping, RinerLodge, Maxon Pavillon",Camping · ,"Davos, Suiza","Landwasserstrasse 64, 7277 Davos, Suiza",mountains@davosklosters.ch,davosklostersmountains.ch,+41 81 417 00 33,73,299
Hotel Derby Davos,Hotel clásico con piscina cubierta,"Davos, Suiza","Promenade 139, 7260 Davos, Suiza",reservation@derbydavos.ch,derbydavos.ch,+41 81 508 34 38,0,339
Central Sporthotel Davos,Hotel,"Davos, Suiza","Tobelmühlestrasse 1, 7270 Davos Platz, Suiza",reservation@central-davos.ch,central-davos.ch,+41 81 415 82 00,0,588
Hotel Piz Buin Klosters,Hotel de 4 estrellas sofisticado con bistró y spa,"Klosters-Serneus, Suiza","Alte Bahnhofstrasse 1, 7250 Klosters-Serneus, Suiza",info@pizbuin-klosters.ch,pizbuin-klosters.ch,+41 81 423 33 33,228,530
Waldhotel Arosa,Hotel de 4 estrellas,"Arosa, Suiza","Prätschlistrasse 38, 7050 Arosa, Suiza",reservation@waldhotel.ch,waldhotel.ch,+41 81 378 55 55,352,566
Hotel AVES Arosa,Hotel,"Arosa, Suiza","Poststrasse 29, 7050 Arosa, Suiza",homebase@aves-arosa.ch,aves-arosa.ch,+41 81 544 98 00,140,202
Faern Arosa Altein,Hotel de 4 estrellas,"Arosa, Suiza","Alteinstrasse 33, 7050 Arosa, Suiza",hello@faernresorts.com,faernresorts.com,+41 81 378 86 86,160,183
Hotel Wynegg,Hotel,"Klosters-Serneus, Suiza","Landstrasse 205, 7250 Klosters-Serneus, Suiza",info@wynegg.ch,wynegg.ch,+41 81 422 13 40,172,287
Postresidenz am See,Hotel,"Arosa, Suiza","Oberseepromenade 28, 7050 Arosa, Suiza",info@postresidenzamsee.ch,postresidenzamsee.ch,+41 81 382 00 88,214,85
Zentrum Haus Davos,Hotel,"Davos, Suiza","Richtstattweg 3, 7270 Davos, Suiza",20reservation@zentrumhaus.ch,zentrumhaus.ch,+41 81 508 36 26,0,184
Hotel Stoffel,Hotel,"Arosa, Suiza","Eggastrasse 25, 7050 Arosa, Suiza",info@hotelstoffel.ch,hotelstoffel.ch,+41 81 378 72 80,140,226
Hotel Vereina,Hotel de 4 estrellas,"Klosters-Serneus, Suiza","Landstrasse 179, 7250 Klosters-Serneus, Suiza",info@vereinaklosters.ch,vereinaklosters.ch,+41 81 410 27 27,454,148
Hotel-Restaurant Steinbock,Hotel de 3 estrellas,"Klosters-Serneus, Suiza","Landstrasse 146, 7250 Klosters-Serneus, Suiza",info@steinbockklosters.ch,steinbock-klosters.ch,+41 81 422 45 45,208,273
Hotel Montana,Hotel informal con restaurante y bar,"Davos, Suiza","Bahnhofstrasse 2, 7260 Davos, Suiza",mountains@davosklosters.ch,davosklostersmountains.ch,+41 81 417 65 35,0,179
Morosani Posthotel,Hotel de 4 estrellas con vistas y 2 restaurantes,"Davos, Suiza","Promenade 42, 7270 Davos Platz, Suiza",reservations@morosani.ch,morosani.ch,+41 81 415 45 00,0,261
Hotel Sport Klosters,Hotel de 3 estrellas,"Klosters-Serneus, Suiza","Landstrasse 95, 7250 Klosters-Serneus, Suiza",info@hotel-sport.ch,hotel-sport.ch,+41 81 423 30 30,156,357
Silvretta Parkhotel AG,Hotel de 4 estrellas,"Klosters-Serneus, Suiza","Landstrasse 190, 7250 Klosters Platz, Suiza",info@silvretta.ch,silvretta.ch,+41 81 423 34 35,242,193
Club Hotel Davos - rooms only,Hotel,"Davos, Suiza","Promenade 23, 7270 Davos, Suiza",mountains@davosklosters.ch,davosklostersmountains.ch,+41 81 414 91 00,0,408
Hotel Cresta Sun Davos,Hotel,"Davos, Suiza","Talstrasse 52, 7270 Davos, Suiza",info@crestahoteldavos.ch,crestahoteldavos.ch,+41 81 511 22 90,0,165
Arosa Vetter Hotel,Hotel de 3 estrellas,"Arosa, Suiza","Seeblickstrasse 9, 7050 Arosa, Suiza",info@arosa-vetter-hotel.ch,arosa-vetter-hotel.ch,+41 81 378 80 00,197,387
Kurhaus Bergün,Hotel,"Bergün/Bravuogn, Suiza","Veja Grusaida 9, 7482 Bergün/Bravuogn, Suiza",info@kurhausberguen.ch,kurhausberguen.ch,+41 81 407 22 22,196,493
Hotel Davoserhof,Hotel de 3 estrellas,"Davos, Suiza","Berglistutz 2, 7270 Davos, Suiza",mountains@davosklosters.ch,davosklostersmountains.ch,+41 81 417 67 77,0,70
Walserhuus Sertig,Restaurante · ,"Davos Clavadel, Davos, Suiza","Sertigerstrasse 34, 7272 Davos Clavadel, Suiza",info@walserhuus.ch,walserhuus.ch,+41 81 410 60 30,1484,903
Hotel National,Hotel de 3 estrellas,"Davos, Suiza","Ob. Str. 31, 7270 Davos, Suiza",mountains@davosklosters.ch,davosklostersmountains.ch,+41 81 417 65 80,0,139
Mountain Hotels Davos,Hotel,"Davos, Suiza","Platz CH, Brämabüelstrasse 11, 7270 Davos, Suiza",mountains@davosklosters.ch,davosklostersmountains.ch,+41 81 417 67 77,0,4
Blatter’s Arosa Hotel,Hotel,"Arosa, Suiza","u. Waldpromenade, 7050 Arosa, Suiza",arnes.blatter@blatters-hotel.ch,blatters-hotel.ch,+41 81 378 66 66,199,465
Aparthotel Muchetta,Hotel de 3 estrellas,"Wiesen, Suiza","Aussergasse 18, 7494 Wiesen, Suiza",muchetta@aparthotel-davos.ch,aparthotel-davos.ch,+41 81 410 41 00,141,48
Sunstar Hotel Arosa,Hotel de 4 estrellas,"Arosa, Suiza","Seewaldstrasse 12, 7050 Arosa, Suiza",arosa@sunstar.ch,arosa.sunstar.ch,+41 81 378 77 77,186,371
Hotel Schöntal,Hotel,"Filisur, Suiza","Bahnhofstrasse 5, 7477 Filisur, Suiza",contact@schoental.ch,schoental.ch,+41 81 404 21 72,138,102
Hotel Ducan,Hotel,"Davos Monstein, Suiza","Hauptstrasse 15, 7278 Davos Monstein, Suiza",hotel@hotelducan.ch,hotelducan.ch,+41 81 401 11 13,183,204
Hotel Alpina Hotel,Hotel,"Arosa, Suiza","Eichhörnliweg 1, 7050 Arosa, Suiza",support@dachcom.ch,alpinarosa.ch,+41 81 378 89 89,269,12
BelArosa Suiten & Wellness Hotel,Hotel de 4 estrellas,"Arosa, Suiza","Hotel BelArosa, Eichhörnliweg 1, 7050 Arosa, Suiza",support@dachcom.ch,belarosa.ch,+41 81 378 89 89,401,104
IN LAIN Hotel Cadonau - 5-Sterne-Superior-Hotel,Hotel de 5 estrellas,"Zernez, Suiza","Crusch Plantaun 217, 7527 Zernez, Suiza",hotel@inlain.ch,inlain.ch,+41 81 851 20 00,692,241
Hotel Sporthof,Hotel,"Davos, Suiza","Dorfstrasse 15, 7260 Davos, Suiza",mountains@davosklosters.ch,davosklostersmountains.ch,+41 81 417 65 45,0,18
Hotel Alte Post,Hotel de 2 estrellas con restaurante rústico y bar,"Davos, Suiza","Berglistutz 4, 7270 Davos Platz, Suiza",mountains@davosklosters.ch,davosklostersmountains.ch,+41 81 417 65 50,0,70
Davoser Hüsli,Hotel,NO_CITY,"Berglistutz 4, 7270 Davos, Suiza",mountains@davosklosters.ch,davosklostersmountains.ch,+41 81 417 67 77,0,13
Provisorium13,Restaurante,"Arosa, Suiza","Poststrasse 34, 7050 Arosa, Suiza",hotel@provisorium13.ch,provisorium13.ch,+41 81 377 12 16,196,392
Pension Arosa,Pensión,"Arosa, Suiza","Poststrasse 69, 7050 Arosa, Suiza",host@pensionarosa.ch,pensionarosa.ch,+41 81 511 03 04,139,4
Hotel Restaurant Gspan,Hotel,"Arosa, Suiza","Gspanstrasse 27, 7050 Arosa, Suiza",gspan@bluewin.ch,gspan.ch,+41 81 377 14 94,204,309
BelArosa Hotel Superior,Hotel,"Arosa, Suiza","Eichhörnliweg 1, 7050 Arosa, Suiza",support@dachcom.ch,belarosa.ch,+41 81 378 89 89,400,63
Sonnenhalde Hotel & Restaurant,Hotel informal con restaurante sencillo,"Wiesen, Suiza","Obergasse 40, 7494 Wiesen, Suiza",info@sonnenhalde.com,sonnenhalde.com,+41 81 420 46 46,195,166
