name,category,city,address,email,website,phone,price,n_reviews
Hotel Alpha,Hotel de 3 estrellas,"Saas-Grund, Suiza","Innere, Saastalstrasse, 3910 Saas-Grund, Suiza",NO_EMAIL,hotelalphasaas.ch,+41 27 957 20 06,215,263
Haus Alfa,Hotel,"Saas-Fee, Suiza","Parkstrasse 23, 3909 Saas-Fee, Suiza",info@saasholidays.com,saasholidays.com,+41 27 957 39 96,178,65
Feehof-Garni und Ferienwohnungen,Hotel de 3 estrellas,"Saas-Fee, Suiza","Dorfstrasse 28, 3906 Saas-Fee, Suiza",info@feehof.ch,feehof.ch,+41 27 958 66 88,221,85
Hotel Alpenhof Hotel,Hotel de 3 estrellas informal con restaurante y saunas,"Saas-Almagell, Suiza","Talstrasse 91, 3905 Saas-Almagell, Suiza",office@hotelalpenhof.ch,hotelalpenhof.ch,+41 27 957 20 20,220,89
Guesthouse Berggeist,Hotel,"Saas-Fee, Suiza","Obere Dorfstrasse 40, 3906 Saas-Fee, Suiza",info@lesamis-saas-fee.ch,berggeist-saas-fee.ch,+41 27 530 50 15,162,1
Hotel Adler AG,Hotel,"Saas-Grund, Suiza","Bodmenstrasse 206, 3910 Saas-Grund, Suiza",info@hoteladler.ch,hoteladler.ch,+41 27 957 28 45,207,56
Hotel Monte Moro,Hotel de 3 estrellas,"Saas-Almagell, Suiza","Talstrasse 129, 3905 Saas-Almagell, Suiza",info@monte-moro.ch,monte-moro.ch,+41 27 957 10 12,204,98
Hotel-Restaurant Primavera AG,Hotel,"Saas-Grund, Suiza","Seilbahnstrasse 19, 3910 Saas-Grund, Suiza",info@hotelprimavera.ch,hotelprimavera.ch,+41 27 957 17 88,162,37
Haus Astoria,Alojamiento en interiores,NO_CITY,"Saastalstrasse 231, 3910 Saas-Grund, Suiza",NO_EMAIL,hausastoria.traveleto.com,NO_PHONE,158,13
Chalet Pickelschmiede,Hotel,"Saas-Balen, Suiza",NO_ADDRESS,info@saasholidays.com,saasholidays.com,+41 27 957 39 96,154,12
Hotel Europa,"Hotel con spa, restaurante y bar","Saas-Fee, Suiza","Hannigstrasse 41, 3906 Saas-Fee, Suiza",info@europa-saasfee.ch,europa-saasfee.ch,+41 27 958 96 00,0,221
Hotel Marmotte,Hotel de 3 estrellas de montaña con restaurante rústico,"Saas-Fee, Suiza","Hannigstrasse 47, 3906 Saas-Fee, Suiza",info@hotelmarmotte.ch,hotelmarmotte.ch,+41 27 957 00 22,0,196
Park-Hotel,Hotel de 3 estrellas,"Saas-Fee, Suiza","Bielmattweg 1, 3906 Saas-Fee, Suiza",info@parkhotel-saas-fee.ch,parkhotel-saas-fee.ch,+41 27 958 19 90,0,190
Restaurant Zur Mühle Bed and Breakfast,Hotel pintoresco con vistas a la montaña,"Saas-Fee, Suiza","Dorfstrasse 61, 3906 Saas-Fee, Suiza",info@zurmuehle-saas-fee.ch,zurmuehle-saas-fee.ch,+41 27 957 26 76,0,496
Hotel Artemis,Hotel familiar con guardaesquís,"Saas-Fee, Suiza","Hannigasse 1, 3906 Saas-Fee, Suiza",eben@eyebytes.com,artemishotel.ch,+41 27 957 32 01,0,78
The Larix Hotel & Restaurant,Hotel de 3 estrellas,"Saas-Fee, Suiza","Gletscherstrasse 14, 3906 Saas-Fee, Suiza",info@the-larix.ch,the-larix.ch,+41 27 958 64 64,0,240
Hotel La Collina,Hotel informal con salón rústico,"Saas-Fee, Suiza","Hügelweg 1, 3906 Saas-Fee, Suiza",info@lacollina.ch,lacollina.ch,+41 27 957 19 38,0,140
Hotel du Glacier AG,Hotel,"Saas-Fee, Suiza","Blomattenstrasse 2, 3906 Saas-Fee, Suiza",info@duglacier.ch,du-glacier.saas-fee-hotels.com,+41 27 958 16 00,0,69
Hotel Ambiente,Hotel de 3 estrellas,"Saas-Fee, Suiza","Mischistrasse 45, 3906 Saas-Fee, Suiza",info@hotel-ambiente.ch,hotel-ambiente.ch,+41 27 958 91 10,0,121
Boutique Lodge Spycher,Bed & Breakfast,"Saas-Fee, Suiza","Hanniggasse 10, Hanniggasse 10, 3906 Saas-Fee, Suiza",NO_EMAIL,boutiquelodge.ch,+41 27 957 41 70,0,48
Waldhotel Fletschhorn,"Hotel de 4 estrellas, spa y habitaciones minimalistas","Saas-Fee, Suiza","Wildistrasse 64, 3906 Saas-Fee, Suiza",booking@fletschhorn.ch,fletschhorn.ch,+41 27 957 21 31,0,97
