name,category,city,address,email,website,phone,price,n_reviews
Boutique Hotel / Restaurant / Bar Bären Ringgenberg,Hotel,"Ringgenberg, Suiza","Hauptstrasse 128, 3852 Ringgenberg, Suiza",hotel@Baeren-ringgenberg.ch,baeren-ringgenberg.ch,+41 33 822 19 31,180,262
"Baeren Hotel, The Bear Inn",Hotel de 3 estrellas,"Wilderswil, Suiza","Oberdorfstrasse 1, 3812 Wilderswil, Suiza",info@baeren.ch,baeren.ch,+41 33 827 02 02,232,556
Alpenrose Hotel and Gardens,Hotel de 2 estrellas,"Wilderswil, Suiza","Kirchgasse 72B, 3812 Wilderswil, Suiza",info@alpenrosehotel.ch,alpenrosehotel.ch,+41 33 822 10 24,303,420
Hotel Schynige Platte,Hotel,"Wilderswil, Suiza","Berghotel Schynige Platte, 3812 Wilderswil, Suiza",hotel.schynigeplatte@jungfrau.ch,hotelschynigeplatte.ch,+41 33 828 73 73,353,437
Hotel Chalet Swiss,Hotel,"Interlaken, Suiza","Seestrasse 22, 3800 Interlaken, Suiza",chaletswiss@amanthos.com,chalet-swiss.ch,+41 33 826 78 78,0,600
Gasthof Bären,Restaurante,"Habkern, Suiza","Im Holz 370, 3804 Habkern, Suiza",info@baeren-habkern.ch,baeren-habkern.ch,+41 33 843 00 99,253,265
Hotel Lötschberg,Hotel de 3 estrellas,"Interlaken, Suiza","General Guisanstrasse 31, 3800 Interlaken, Suiza",hotel@lotschberg.ch,lotschberg.ch,+41 33 822 25 45,0,223
Hotel Brienzersee,Hotel de 3 estrellas,"Ringgenberg, Suiza","Beundenstrasse 12, 3852 Ringgenberg, Suiza",happy@hotelbrienzersee.ch,hotelbrienzersee.ch,+41 33 822 23 53,0,339
Hotel Crystal,Hotel de 3 estrellas,"Interlaken, Suiza","Rugenparkstrasse 13, 3800 Interlaken, Suiza",info@crystal-hotel.ch,crystal-hotel.ch,+41 33 822 62 33,0,512
Alpina Hotel,Hotel,"Interlaken, Suiza","Hauptstrasse 44, 3800 Interlaken, Suiza",info@alpinahotel.ch,alpinahotel.ch,+41 33 822 80 31,0,151
Hirschen Hotel Restaurant,Carne · ,"Matten bei Interlaken, Suiza","Hauptstrasse 11, 3800 Matten bei Interlaken, Suiza",info@hirschen-interlaken.ch,hirschen-interlaken.ch,+41 33 822 15 45,0,646
Arnolds Bed & Breakfast,Bed & Breakfast,"Interlaken, Suiza","Parkstrasse 3, 3800 Interlaken, Suiza",customercare@localsearch.ch,yellow.local.ch,+41 33 823 64 21,0,103
Hotel Blume Interlaken AG,Hotel de 2 estrellas modesto con desayuno gratuito,"Interlaken, Suiza","Jungfraustrasse 30, 3800 Interlaken, Suiza",mail@hotel-blume.ch,hotel-blume.ch,+41 33 822 71 31,0,253
Bed & Bar No.8,Hotel,"Interlaken, Suiza","Spielmatte 8, 3800 Interlaken, Suiza",coffee@ladelokalinterlaken.com,no8interlaken.com,+41 33 820 07 08,0,294
Hotel Seiler au Lac,Hotel con restaurante junto a un lago,"Bönigen, Suiza","Am Quai 3, 3806 Bönigen, Suiza",hotel@seileraulac.ch,seileraulac.ch,+41 33 828 90 90,0,423
Riverlodge,Albergue,"Interlaken, Suiza","Brienzstrasse 24, 3800 Interlaken, Suiza",welcome@riverlodge.ch,riverlodge.ch,+41 33 822 44 24,0,211
BASICROOMS HOTEL,Hotel,"Interlaken, Suiza","Hauptstrasse 44, 3800 Interlaken, Suiza",info@basicrooms.ch,basicrooms.allbernhotels.com,+41 33 822 80 31,0,30
Jungfrau Hotel,Hotel de 3 estrellas,"Wilderswil, Suiza","Schulgässli 51, 3812 Wilderswil, Suiza",info@jungfrau-hotel.ch,jungfrau-hotel.ch,+41 33 845 85 00,0,435
Interlaken apartment,Agencia de alquiler de alojamientos para vacaciones,"Interlaken, Suiza","Suleggstrasse 2b, 3800 Interlaken, Suiza",hello@visit-interlaken.com,visit-interlaken.com,+41 33 821 11 33,0,68
Hotel Oberländerhof,Hotel,"Bönigen, Suiza","b, Interlaken CH, Am Quai 1, 3806 Bönigen, Suiza",hotel@oberlaenderhof.ch,oberlaenderhof.ch,+41 33 822 17 25,0,98
Annex ALPINE INN,Hotel,"Wilderswil, Suiza","Obereigasse 29 / 31, 3812 Wilderswil, Suiza",info@jungfrau-hotel.ch,jungfrau-hotel.ch,+41 33 845 85 00,0,207
Restaurant Luegibrüggli,Restaurante · ,"Unterseen, Suiza","Luegibrüggli 1, 3800 Unterseen, Suiza",info@luegibrueggli.ch,luegibrueggli.ch,+41 33 822 88 22,0,1056
Edelweiss Lodge,Hotel,"Wilderswil, Suiza","Kirchgasse 72, 3812 Wilderswil, Suiza",info@alpenrosehotel.ch,edelweisslodge.ch,+41 33 822 10 24,0,213
Credo Schloss Unspunnen,Alojamiento en interiores,"Wilderswil, Suiza","Unspunnenstrasse 11, 3812 Wilderswil, Suiza",info@credo.ch,credo.ch,+41 33 822 32 06,0,205
Hotel Meielisalp,Hotel de 3 estrellas,"Leissigen, Suiza","Stoffelberg, 3706 Leissigen, Suiza",hotel@meielisalp.ch,meielisalp.ch,+41 33 847 13 41,0,505
Camping Lazy Rancho 4,Camping · ,"Unterseen, Suiza","Lehnweg 6, 3800 Unterseen, Suiza",info@lazyrancho.ch,lazyrancho.ch,+41 33 822 87 16,0,623
